interval_start_timestamp,channel_name,channel_id,listeners,communicators
2021-03-27T00:00:00+00:00,AFK Channel,255910231039541250,7,0
2021-03-27T00:00:00+00:00,Overwatch Oasis,261708009233842178,17,16
2021-03-27T00:00:00+00:00,LoL In-House Lobby,283421525258797057,2,2
2021-03-27T00:00:00+00:00,Overwatch Room 1,353381730889236501,17,16
2021-03-27T00:00:00+00:00,General Gaming,596034092924141578,10,10
2021-03-27T00:00:00+00:00,Music Channel,596034145566851085,2,3
2021-03-27T00:00:00+00:00,Overwatch Room 2,600093407548801064,14,14
2021-03-27T00:00:00+00:00,Throwstack Oasis,615354045816635411,14,14
2021-03-27T00:00:00+00:00,Valorant Haven,695862045178069023,3,3
2021-03-27T00:00:00+00:00,Social Gaming,696087211300356136,15,14
2021-03-27T00:00:00+00:00,IE-LIVE,768717425013162025,1,0
2021-03-27T00:00:00+00:00,Apex Oasis,809346894861565972,28,27